Company,Model,Displ,Cyl,Drive,Fuel,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Trans_type,Gear_num
CADILLAC,Escalade V,6.2,8.0,4WD,Gasoline,standard SUV,3,11,16,13,1,No,682,SemiAuto,10
CADILLAC,XT4,2.0,4.0,2WD,Gasoline,small SUV,7,24,29,26,5,No,343,SemiAuto,9
CADILLAC,XT4,2.0,4.0,4WD,Gasoline,small SUV,7,23,28,25,5,No,360,SemiAuto,9
CADILLAC,XT5,2.0,4.0,2WD,Gasoline,small SUV,7,22,29,24,5,No,370,SemiAuto,9
CADILLAC,XT5,2.0,4.0,4WD,Gasoline,small SUV,7,21,27,23,5,No,386,SemiAuto,9
CADILLAC,XT5,3.6,6.0,2WD,Gasoline,small SUV,6,19,26,21,4,No,418,SemiAuto,9
CADILLAC,XT5,3.6,6.0,4WD,Gasoline,small SUV,6,18,26,21,4,No,424,SemiAuto,9
CADILLAC,XT5 Limo,2.0,4.0,2WD,Gasoline,special purpose,6,20,23,21,4,No,425,SemiAuto,9
CADILLAC,XT5 Limo,2.0,4.0,4WD,Gasoline,special purpose,6,20,23,21,4,No,425,SemiAuto,9
CADILLAC,XT6,2.0,4.0,2WD,Gasoline,small SUV,7,21,27,23,5,No,386,SemiAuto,9
CADILLAC,XT6,2.0,4.0,4WD,Gasoline,small SUV,7,21,26,23,5,No,386,SemiAuto,9
CADILLAC,XT6,3.6,6.0,2WD,Gasoline,small SUV,6,19,26,21,4,No,418,SemiAuto,9
CADILLAC,XT6,3.6,6.0,4WD,Gasoline,small SUV,6,18,25,21,4,No,433,SemiAuto,9
CHEVROLET,Blazer,2.0,4.0,2WD,Gasoline,small SUV,7,22,29,25,5,No,358,Auto,9
CHEVROLET,Blazer,2.0,4.0,4WD,Gasoline,small SUV,7,22,27,24,5,No,368,Auto,9
CHEVROLET,Blazer,3.6,6.0,2WD,Gasoline,small SUV,6,19,26,22,5,No,411,Auto,9
CHEVROLET,Blazer,3.6,6.0,4WD,Gasoline,small SUV,6,18,26,21,4,No,422,Auto,9
CHEVROLET,Camaro,3.6,6.0,2WD,Gasoline,small car,6,16,26,20,4,No,451,Man,6
CHEVROLET,Camaro,3.6,6.0,2WD,Gasoline,small car,6,18,29,22,5,No,407,SemiAuto,10
CHEVROLET,Camaro,6.2,8.0,2WD,Gasoline,small car,1,14,20,16,3,No,561,Man,6
CHEVROLET,Camaro,6.2,8.0,2WD,Gasoline,small car,1,16,24,19,4,No,477,Man,6
CHEVROLET,Camaro,6.2,8.0,2WD,Gasoline,small car,1,13,21,16,3,No,571,SemiAuto,10
CHEVROLET,Camaro,6.2,8.0,2WD,Gasoline,small car,1,16,26,20,4,No,452,SemiAuto,10
CHEVROLET,Colorado,2.7,4.0,4WD,Gasoline,pickup,7,18,23,20,4,No,446,Auto,8
CHEVROLET,Corvette,6.2,8.0,2WD,Gasoline,small car,5,16,25,19,4,No,472,SemiAuto,8
CHEVROLET,Corvette AWD,6.2,8.0,4WD,Gasoline,small car,3,16,24,19,4,No,480,SemiAuto,8
CHEVROLET,Corvette Z06,5.5,8.0,2WD,Gasoline,small car,3,12,21,15,2,No,597,SemiAuto,8
CHEVROLET,Corvette Z06 Carbon Aero,5.5,8.0,2WD,Gasoline,small car,3,12,19,14,2,No,631,SemiAuto,8
CHEVROLET,Equinox,1.5,4.0,2WD,Gasoline,small SUV,7,26,31,28,6,No,310,Auto,6
CHEVROLET,Equinox,1.5,4.0,4WD,Gasoline,small SUV,7,24,30,26,5,No,339,Auto,6
CHEVROLET,Silverado,2.7,4.0,2WD,Gasoline,pickup,7,17,21,19,4,No,470,Auto,8
CHEVROLET,Silverado,2.7,4.0,2WD,Gasoline,pickup,7,18,22,20,4,No,453,Auto,8
CHEVROLET,Silverado,2.7,4.0,4WD,Gasoline,pickup,7,17,19,18,4,No,506,Auto,8
CHEVROLET,Silverado,2.7,4.0,4WD,Gasoline,pickup,7,18,21,19,4,No,468,Auto,8
CHEVROLET,Silverado,3.0,6.0,2WD,Diesel,pickup,5,23,29,26,5,No,397,Auto,10
CHEVROLET,Silverado,3.0,6.0,4WD,Diesel,pickup,5,21,24,23,4,No,450,Auto,10
CHEVROLET,Silverado,3.0,6.0,4WD,Diesel,pickup,5,23,27,24,4,No,416,Auto,10
CHEVROLET,Silverado,5.3,8.0,2WD,Ethanol/Gas,pickup,5,16,20,18,4,No,496,Auto,10
CHEVROLET,Silverado,5.3,8.0,2WD,Gasoline,pickup,7,15,19,16,3,No,546,Auto,10
CHEVROLET,Silverado,5.3,8.0,2WD,Gasoline,pickup,7,16,21,18,4,No,490,Auto,10
CHEVROLET,Silverado,5.3,8.0,2WD,Gasoline,pickup,7,16,22,18,4,No,489,Auto,10
CHEVROLET,Silverado,5.3,8.0,2WD,Gasoline,special purpose,7,15,18,16,3,No,545,Auto,10
CHEVROLET,Silverado,5.3,8.0,4WD,Ethanol/Gas,pickup,5,15,19,17,3,No,524,Auto,10
CHEVROLET,Silverado,5.3,8.0,4WD,Gasoline,pickup,7,15,19,16,3,No,546,Auto,10
CHEVROLET,Silverado,5.3,8.0,4WD,Gasoline,pickup,7,15,19,17,3,No,535,Auto,10
CHEVROLET,Silverado,5.3,8.0,4WD,Gasoline,pickup,7,15,20,17,3,No,517,Auto,10
CHEVROLET,Silverado,5.3,8.0,4WD,Gasoline,special purpose,7,14,17,15,2,No,577,Auto,10
CHEVROLET,Silverado,6.2,8.0,4WD,Gasoline,pickup,6,15,20,17,3,No,527,Auto,10
CHEVROLET,Silverado 4WD Mud Terrain Tire,2.7,4.0,4WD,Gasoline,pickup,7,16,17,16,3,No,542,Auto,8
CHEVROLET,Silverado 4WD Mud Terrain Tire,2.7,4.0,4WD,Gasoline,pickup,7,16,17,17,3,No,534,Auto,8
CHEVROLET,Silverado 4WD Mud Terrain Tire,3.0,6.0,4WD,Diesel,pickup,5,21,23,22,4,No,463,Auto,10
CHEVROLET,Silverado 4WD Mud Terrain Tire,3.0,6.0,4WD,Diesel,pickup,5,21,23,22,4,No,471,Auto,10
CHEVROLET,Silverado 4WD Mud Terrain Tire,5.3,8.0,4WD,Ethanol/Gas,pickup,5,15,19,17,3,No,524,Auto,10
CHEVROLET,Silverado 4WD Mud Terrain Tire,5.3,8.0,4WD,Gasoline,pickup,7,15,18,16,3,No,545,Auto,10
CHEVROLET,Silverado 4WD Mud Terrain Tire,5.3,8.0,4WD,Gasoline,pickup,7,15,18,16,3,No,555,Auto,10
CHEVROLET,Silverado 4WD Mud Terrain Tire,5.3,8.0,4WD,Gasoline,pickup,7,15,19,16,3,No,546,Auto,10
CHEVROLET,Silverado 4WD Mud Terrain Tire,6.2,8.0,4WD,Gasoline,pickup,6,14,17,15,2,No,590,Auto,10
CHEVROLET,Silverado ZR2,3.0,6.0,4WD,Diesel,pickup,5,20,22,21,4,No,484,Auto,10
CHEVROLET,Silverado ZR2,6.2,8.0,4WD,Gasoline,pickup,6,14,17,15,2,No,591,Auto,10
CHEVROLET,Trailblazer,1.3,3.0,4WD,Gasoline,small SUV,7,26,29,27,5,No,329,Auto,9
CHEVROLET,Trailblazer,1.3,3.0,2WD,Gasoline,small SUV,7,29,33,31,6,No,290,CVT,0
CHEVROLET,Trax,1.2,3.0,2WD,Gasoline,station wagon,7,28,32,30,6,No,298,Auto,6
CHRYSLER,Pacifica,3.6,6.0,2WD,Gasoline,minivan,7,19,28,22,5,No,401,Auto,9
CHRYSLER,Pacifica,3.6,6.0,4WD,Gasoline,minivan,7,17,25,20,4,No,450,Auto,9
CHRYSLER,Pacifica Hybrid,3.6,6.0,2WD,Gasoline/Electricity,minivan,7,87,77,82,9,Yes,119,CVT,0
CHRYSLER,Voyager,3.6,6.0,2WD,Gasoline,minivan,7,19,28,22,5,No,401,Auto,9
DODGE,Hornet,2.0,4.0,4WD,Gasoline,small SUV,7,21,29,24,5,No,371,Auto,9
DODGE,Hornet PHEV AWD,1.3,4.0,4WD,Gasoline/Electricity,small SUV,6,77,77,77,9,No,120,Auto,6
FERRARI,296 GTB,2.9,6.0,2WD,Gasoline/Electricity,small car,6,45,49,47,5,No,398,AMS,8
FERRARI,296 GTS,2.9,6.0,2WD,Gasoline/Electricity,small car,6,48,48,48,5,No,403,AMS,8
FERRARI,812 Competizione,6.5,12.0,2WD,Gasoline,small car,3,12,16,14,2,No,652,AutoMan,7
FERRARI,812 Competizione A,6.5,12.0,2WD,Gasoline,small car,3,12,16,14,2,No,648,AutoMan,7
FERRARI,Daytona SP3,6.5,12.0,2WD,Gasoline,small car,3,12,16,13,1,No,660,AutoMan,7
FERRARI,F173 HFC,3.9,8.0,4WD,Gasoline/Electricity,small car,5,45,44,45,4,No,415,AutoMan,8
FERRARI,F173 HGC,3.9,8.0,4WD,Gasoline/Electricity,small car,5,45,44,45,4,No,415,AutoMan,8
FERRARI,Purosangue,6.5,12.0,4WD,Gasoline,standard SUV,6,11,15,12,1,No,711,AutoMan,8
FERRARI,Roma,3.9,8.0,2WD,Gasoline,small car,6,17,22,19,4,No,472,AutoMan,8
